FT	ID	AT	WT	ST
2	1	1	0	1
3	2	2	0	1
4	4	3	0	1
5	9	4	0	1
5	6	3	0	2
6	11	5	0	1
6	3	3	0	3
8	12	6	0	2
8	8	4	0	4
8	5	3	0	5
9	13	6	0	3
11	16	10	0	1
12	19	11	0	1
12	7	3	0	9
13	18	11	0	2
14	22	12	0	2
14	15	10	0	4
15	17	10	0	5
15	10	5	0	10
16	25	14	0	2
16	24	14	0	2
16	23	13	0	3
17	14	7	0	10
18	30	17	0	1
18	28	16	0	2
18	29	16	0	2
18	20	12	0	6
19	27	16	1	2
20	26	15	0	5
22	21	12	0	10
23	33	19	0	4
23	32	18	0	5
25	34	20	0	5
25	31	17	0	8
31	35	21	0	10
Orders: 35	[Norm:17, Veg:13, VIP:5]
Cooks: 14	[Norm:8, Veg:5, Vip:1, injured:4]
Avg Wait = 0.0285714, Avg Serv = 3.85714
Urgent orders: 0, Auto-promoted: 0%
