FT	ID	AT	WT	ST
5	4	3	0	2
6	7	4	0	2
6	8	4	0	2
6	3	3	0	3
8	11	6	0	2
9	1	1	0	8
10	13	7	0	3
11	22	9	0	2
12	19	9	0	3
13	28	12	0	1
13	23	10	0	3
13	2	2	7	4
14	20	9	0	5
17	16	7	0	10
18	29	13	0	5
20	35	16	0	4
20	31	14	0	6
22	37	16	4	2
24	40	18	0	6
26	33	16	1	9
27	43	19	3	5
27	42	19	3	5
28	45	21	3	4
28	5	3	10	15
33	34	16	0	17
41	6	4	26	11
51	9	5	36	10
64	10	5	46	13
80	12	6	58	16
99	14	7	73	19
114	15	7	92	15
131	17	7	107	17
138	18	8	123	7
157	21	9	129	19
174	24	11	146	17
194	25	12	162	20
207	26	12	182	13
210	27	12	197	1
226	30	13	197	16
243	32	15	211	17
249	36	16	229	4
258	38	16	233	9
263	39	17	241	5
272	41	19	246	7
282	44	20	252	10
Orders: 45	[Norm:5, Veg:23, VIP:17]
Cooks: 6	[Norm:3, Veg:1, Vip:2, injured:6]
Avg Wait = 67.0444, Avg Serv = 8.31111
Urgent orders: 4, Auto-promoted: 0%
